onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
90.9	4.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95.5	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
96	0.7	sub-002	6	E	toy	go1_savory1.jpeg	382	fMRI	1	savory	1	0	0	2	2	0.666	0
96.7	0.3	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.5	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
98	0.7	sub-002	6	E	toy	go2_savory4.jpeg	383	fMRI	1	savory	2	0	0	4	2	0.615	0
98.7	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
99.1	2.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
101.6	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.1	0.2	sub-002	6	E	toy	go2_savory1.jpeg	384	fMRI	1	savory	2	1	150	4	0	n/a	154
102.3	0.8	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.1	2.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
105.6	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
106.2	0.6	sub-002	6	E	toy	go1_savory4.jpeg	385	fMRI	1	savory	1	0	0	4	1	0.653	0
